model,probe,layer,n_components,dim_reduction,circular_encoding,fold,pred_error_km,r2_lat,r2_all,r2_sin_lon,r2_cos_lon,r2_lon
terramind_v1_base,xgboost,8,768,none,True,0,2005.921635664558,0.9007798708849091,0.9006176377002211,0.7536362760859915,0.7580799954710533,
terramind_v1_base,xgboost,8,768,none,True,1,2020.6698557931797,0.9012678391854266,0.9011028466314619,0.7560126850194737,0.7538724632691121,
terramind_v1_base,xgboost,8,768,none,True,2,2050.6163815810737,0.8989346551468352,0.8987694954778276,0.7524107986495362,0.7503066450688437,
terramind_v1_base,xgboost,8,768,none,True,3,2030.7786817730516,0.895286243983371,0.8951275402676723,0.7524660134686956,0.7559695650900281,
terramind_v1_base,xgboost,8,768,none,True,4,2018.664375159254,0.9007137260907758,0.9005515199175054,0.7537040691708407,0.7612191167960196,
terramind_v1_tiny,xgboost,7,192,none,True,0,3449.8568833338054,0.7207266145879011,0.7205210955784684,0.5332696777970417,0.5417546421088875,
terramind_v1_tiny,xgboost,7,192,none,True,1,3450.0919002201736,0.7244110790505665,0.7242002855663487,0.5347646112079809,0.5430675824081351,
terramind_v1_tiny,xgboost,7,192,none,True,2,3485.6476184662442,0.7137342907682002,0.7135312280073125,0.5298814808338801,0.5373016720172212,
terramind_v1_tiny,xgboost,7,192,none,True,3,3439.980781922002,0.7157614429634538,0.7155621672019082,0.534312050390704,0.5445068938711788,
terramind_v1_tiny,xgboost,7,192,none,True,4,3405.959808190892,0.7284487207010213,0.7282387880791698,0.5394989388624462,0.5456904528356474,
terramind_v1_large,xgboost,3,1024,none,True,0,2975.2847940554893,0.7601699443131419,0.7600120931430645,0.6160497289577573,0.6229510823050464,
terramind_v1_large,xgboost,3,1024,none,True,1,2924.244201536824,0.7600905193544334,0.7599413353479594,0.6284826502390556,0.6272802141064544,
terramind_v1_large,xgboost,3,1024,none,True,2,2967.2195220987664,0.7557778473105652,0.75562637928054,0.6212135539976572,0.6197897219055597,
terramind_v1_large,xgboost,3,1024,none,True,3,2952.957968456875,0.7521029739285102,0.7519569469655348,0.6165472117318778,0.6311109575884273,
terramind_v1_large,xgboost,3,1024,none,True,4,2943.7493224662844,0.7630151544658635,0.7628570078080422,0.6185226464685072,0.628973176547615,
terramind_v1_tiny,mlp,1,192,none,True,0,3223.635786996946,0.7243747082401923,0.7242112752737057,0.5904101951876689,0.5562179964389125,
terramind_v1_tiny,mlp,1,192,none,True,1,3293.60063620286,0.7239163764783313,0.7237378206179967,0.5949913459085268,0.5159962510641817,
terramind_v1_tiny,mlp,1,192,none,True,2,3257.81182923853,0.7147752926190731,0.7146130362161058,0.586930918689104,0.5413397742661992,
terramind_v1_tiny,mlp,1,192,none,True,3,3284.34075988093,0.7250130671230803,0.7248339929161107,0.5796749142960427,0.5403490588115489,
terramind_v1_tiny,mlp,1,192,none,True,4,3225.0792590813244,0.7241024699127444,0.7239381378045161,0.5938966872622637,0.551162538940188,
terramind_v1_base,mlp,11,768,none,False,0,1395.8795767151887,0.9846931140014558,0.9443419478237894,,,0.9396912572556022
terramind_v1_base,mlp,11,768,none,False,1,1397.3416113849626,0.9851595148901723,0.9449476320049359,,,0.9403290498192703
